Date,Day,Tank,Treatment,Combo,Live1,Dead1,Live2,Dead2,Live3,Dead3,Live4,Dead4,Live5,Dead5,Volume.Counted.ml,Vol.Tripour,Sampled
20160308,Day0,1,High,Day 0 High,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,2,Ambient,Day 0 Ambient,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,3,Ambient,Day 0 Ambient,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,4,High,Day 0 High,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,5,High,Day 0 High,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,6,Ambient,Day 0 Ambient,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160310,Day2,1,High,Day 2 High,208,2,221,2,209,2,NA,NA,NA,NA,0.1,500,20000
20160310,Day2,2,Ambient,Day 2 Ambient,228,1,184,3,188,0,NA,NA,NA,NA,0.1,520,20000
20160310,Day2,3,Ambient,Day 2 Ambient,198,3,190,1,231,2,NA,NA,NA,NA,0.1,500,20000
20160310,Day2,4,High,Day 2 High,207,0,222,0,199,2,NA,NA,NA,NA,0.1,500,20000
20160310,Day2,5,High,Day 2 High,148,0,199,0,180,0,NA,NA,NA,NA,0.1,500,20000
20160310,Day2,6,Ambient,Day 2 Ambient,192,0,182,0,197,0,NA,NA,NA,NA,0.1,500,20000
20160311,Day4,1,High,Day 4 High,129,36,160,23,138,15,NA,NA,NA,NA,0.1,500,20000
20160311,Day4,2,Ambient,Day 4 Ambient,161,21,144,38,149,29,NA,NA,NA,NA,0.1,500,20000
20160311,Day4,3,Ambient,Day 4 Ambient,161,23,179,29,153,26,NA,NA,NA,NA,0.1,500,20000
20160311,Day4,4,High,Day 4 High,183,13,171,9,186,11,NA,NA,NA,NA,0.1,500,20000
20160311,Day4,5,High,Day 4 High,160,29,141,19,150,20,NA,NA,NA,NA,0.1,500,20000
20160311,Day4,6,Ambient,Day 4 Ambient,177,27,174,29,174,31,NA,NA,NA,NA,0.1,500,20000
