Measure.Date,Calib.Date,Tank,Treatment,Temperature,pH.MV,Salinity,TA,,
20160308,20160307,1,High,14.05,-19.7,27.5,2060.1,,
20160308,20160307,2,Ambient,14.06,-53,27.5,2033.4,,
20160308,20160307,3,Ambient,14.14,-52.8,27.5,2015.3,,
20160308,20160307,4,High,14.11,-22.6,27.5,2084.8,,
20160308,20160307,5,High,14.1,-22,27.5,2041.0,,
20160308,20160307,6,Ambient,14.08,-53.3,27.5,2014.0,,
20160309,20160309,1,High,13.93,-29,27.4,2079.7,,
20160309,20160309,2,Ambient,13.92,-55,27.4,2024.9,,
20160309,20160309,3,Ambient,13.93,-55,27.4,2044.5,,
20160309,20160309,4,High,13.91,-28.2,27.4,2060.0,,
20160309,20160309,5,High,13.93,-28.6,27.5,2031.0,,
20160309,20160309,6,Ambient,13.94,-55,27.4,2102.0,,
20160310,20160310,1,High,14.18,-29,27.3,2060,,
20160310,20160310,2,Ambient,13.99,-55.7,27.2,2040,,
20160310,20160310,3,Ambient,13.98,-55.6,27.2,2040,,
20160310,20160310,4,High,13.87,-28.6,27.2,2060,,
20160310,20160310,5,High,13.96,-28.4,27.2,2060,,
20160310,20160310,6,Ambient,14.01,-55.3,27.2,2040,,
20160311,20160311,1,High,14,-30.3,27.5,2060,,
20160311,20160311,2,Ambient,14,-56.6,27.5,2040,,
20160311,20160311,3,Ambient,14.05,-56.8,27.5,2040,,
20160311,20160311,4,High,14.03,-30.2,27.5,2060,,
20160311,20160311,5,High,14,-30.1,27.5,2060,,
20160311,20160311,6,Ambient,13.99,-56.6,27.5,2040,,
20160312,20160312,1,High,13.83,-29.7,27.5,2060,,
20160312,20160312,2,Ambient,13.81,-57.6,27.5,2040,,
20160312,20160312,3,Ambient,13.84,-57.6,27.5,2040,,
20160312,20160312,4,High,13.8,-29.5,27.5,2060,,
20160312,20160312,5,High,13.86,-29.6,27.5,2060,,
20160312,20160312,6,Ambient,13.87,-57.7,27.5,2040,,
20160313,20160313,1,High,13.89,-30.4,27.5,2060,,
20160313,20160313,2,Ambient,13.9,-58.5,27.4,2040,,
20160313,20160313,3,Ambient,13.95,-58.5,27.4,2040,,
20160313,20160313,4,High,13.89,-29.9,27.4,2060,,
20160313,20160313,5,High,13.89,-30,27.5,2060,,
20160313,20160313,6,Ambient,13.96,-58.4,27.5,2040,,
20160314,20160314,1,High,13.3,-30.3,27.3,2060,,
20160314,20160314,2,Ambient,13.31,-57.6,27.3,2040,,
20160314,20160314,3,Ambient,13.39,-57.3,27.3,2040,,
20160314,20160314,4,High,13.26,-29.7,27.3,2060,,
20160314,20160314,5,High,13.35,-29.9,27.3,2060,,
20160314,20160314,6,Ambient,13.49,-57.2,27.3,2040,,
