Date,Tank,Treatment,Count1,Count2,Volume.Counted
20160319,11,2_Medium,49,49,0.0009
20160319,12,3_High,49,39,0.0009
20160319,13,1_Ambient,47,44,0.0009
20160319,14,2_Medium,40,32,0.0009
20160319,15,1_Ambient,58,49,0.0009
20160319,16,3_High,66,50,0.0009
20160321,11,2_Medium,58,54,0.0009
20160321,12,3_High,56,70,0.0009
20160321,13,1_Ambient,54,36,0.0009
20160321,14,2_Medium,47,66,0.0009
20160321,15,1_Ambient,47,53,0.0009
20160321,16,3_High,74,54,0.0009
20160326,11,2_Medium,67,75,0.0009
20160326,12,3_High,97,93,0.0009
20160326,13,1_Ambient,59,65,0.0009
20160326,14,2_Medium,64,67,0.0009
20160326,15,1_Ambient,62,64,0.0009
20160326,16,3_High,75,81,0.0009
